LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
37m         Normal    Starting                       node/minikube                                  
110m        Warning   Failed                         pod/pod-i                                      Error: ErrImagePull
110m        Warning   Failed                         pod/pod-f                                      Error: ErrImagePull
110m        Warning   Failed                         pod/pod-f                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
110m        Warning   Failed                         pod/pod-b                                      Error: ErrImagePull
110m        Warning   Failed                         pod/pod-e                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
110m        Warning   Failed                         pod/pod-e                                      Error: ErrImagePull
109m        Warning   Failed                         pod/pod-h                                      Error: ErrImagePull
109m        Warning   Failed                         pod/pod-h                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
108m        Warning   Failed                         pod/pod-g                                      Error: ErrImagePull
108m        Warning   Failed                         pod/pod-g                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
108m        Warning   Failed                         pod/pod-c                                      Error: ErrImagePull
108m        Warning   Failed                         pod/pod-d                                      Error: ErrImagePull
108m        Warning   Failed                         pod/pod-d                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
108m        Warning   Failed                         pod/pod-a                                      Error: ErrImagePull
108m        Warning   Failed                         pod/pod-a                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
108m        Warning   BackOff                        pod/pod-i                                      Back-off restarting failed container dummy in pod pod-i_default(db9eef76-fbee-4fb8-a590-2745f18fb93b)
107m        Warning   BackOff                        pod/pod-b                                      Back-off restarting failed container dummy in pod pod-b_default(aeb19e1e-5cc4-4c8b-ae84-350fb4053ff7)
107m        Warning   BackOff                        pod/pod-c                                      Back-off restarting failed container dummy in pod pod-c_default(e1f85782-6b51-4145-9b00-c08df5e551a9)
107m        Warning   BackOff                        pod/pod-h                                      Back-off restarting failed container dummy in pod pod-h_default(540849ee-7fbe-405c-9a2c-c4c0cb68a95f)
107m        Warning   Failed                         pod/pod-i                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
107m        Warning   BackOff                        pod/pod-f                                      Back-off restarting failed container dummy in pod pod-f_default(04588f10-7e62-47d9-bbe0-7df7f6881fac)
107m        Warning   BackOff                        pod/pod-e                                      Back-off restarting failed container dummy in pod pod-e_default(010c75ee-616f-4db6-8566-059bb30cf42e)
106m        Warning   Failed                         pod/pod-b                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
106m        Warning   BackOff                        pod/pod-g                                      Back-off restarting failed container dummy in pod pod-g_default(521e4fdc-5183-47c0-a1eb-da3c80c98395)
106m        Warning   BackOff                        pod/pod-d                                      Back-off restarting failed container dummy in pod pod-d_default(dd1bf0e4-6165-492b-aca7-16732a0f511d)
106m        Normal    Pulling                        pod/pod-h                                      Pulling image "busybox"
106m        Warning   BackOff                        pod/pod-a                                      Back-off restarting failed container dummy in pod pod-a_default(0944a036-8cc4-4ad5-80a2-0b802d7a48c0)
106m        Warning   Failed                         pod/pod-c                                      Failed to pull image "busybox": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
106m        Normal    Pulling                        pod/pod-g                                      Pulling image "busybox"
105m        Normal    Pulling                        pod/pod-a                                      Pulling image "busybox"
104m        Normal    Pulling                        pod/pod-i                                      Pulling image "busybox"
104m        Normal    Pulling                        pod/pod-b                                      Pulling image "busybox"
104m        Normal    Pulling                        pod/pod-f                                      Pulling image "busybox"
103m        Normal    Pulling                        pod/pod-e                                      Pulling image "busybox"
103m        Normal    Pulling                        pod/pod-c                                      Pulling image "busybox"
103m        Normal    Pulling                        pod/pod-d                                      Pulling image "busybox"
81m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container dummy of Pod pod-e
78m         Warning   Failed                         pod/rolling-deployment-5697d46649-mkmmv        Failed to pull image "nginx:doesnotexist": Error response from daemon: Get "https://registry-1.docker.io/v2/": dial tcp: lookup registry-1.docker.io on 192.168.65.254:53: no such host
72m         Normal    BackOff                        pod/pod-i                                      Back-off pulling image "busybox"
72m         Warning   Failed                         pod/pod-i                                      Error: ImagePullBackOff
72m         Normal    BackOff                        pod/pod-b                                      Back-off pulling image "busybox"
72m         Warning   Failed                         pod/pod-b                                      Error: ImagePullBackOff
